fecha_registro,planta,caudal_entrada_m3_d,DBO_entrada_mg_L,DBO_salida_mg_L,eficiencia_remocion_DBO,energia_aeracion_kWh,lodos_generados_kg_d
2025-08-17,Planta Sur,6562,271,40.0,85.24,1261.1,440.3
2025-09-07,Planta Sur,5336,322,26.8,91.68,1629.3,561.2
2025-07-26,Planta Norte,5755,318,45.2,85.79,1469.2,441.6
2025-10-27,Planta Centro,6840,216,38.0,82.41,1764.8,560.0
2025-09-06,Planta Centro,6803,326,32.1,90.15,1409.3,654.0
2025-09-22,Planta Norte,4714,308,31.7,89.71,1226.7,461.0
2025-07-24,Planta Centro,4464,305,49.7,83.7,957.9,416.9
2025-10-12,Planta Centro,5598,248,30.5,87.7,1612.1,575.5
2025-10-01,Planta Sur,5014,246,37.7,84.67,902.5,429.0
2025-08-27,Planta Sur,2540,343,31.5,90.82,520.9,172.6
2025-07-15,Planta Norte,6986,455,45.1,90.09,1433.3,624.5
2025-07-24,Planta Norte,5227,214,21.3,90.05,1240.0,427.1
2025-09-11,Planta Centro,6231,323,36.8,88.61,1864.7,622.0
2025-09-28,Planta Norte,3558,251,19.8,92.11,638.3,255.0
2025-10-19,Planta Norte,7003,343,51.6,84.96,1863.3,647.8
2025-08-12,Planta Centro,4376,315,26.4,91.62,813.1,264.7
2025-09-29,Planta Norte,5049,365,47.6,86.96,1144.5,395.8
2025-07-09,Planta Sur,3238,90,10.2,88.67,714.5,248.1
2025-08-09,Planta Sur,4966,232,20.2,91.29,984.9,320.5
2025-10-11,Planta Norte,4878,201,28.6,85.77,1206.2,484.9
2025-09-07,Planta Centro,4940,271,46.3,82.92,1130.5,492.5
2025-08-18,Planta Sur,5814,222,20.6,90.72,1262.2,418.7
2025-07-08,Planta Sur,5284,229,32.9,85.63,1406.1,497.5
2025-08-14,Planta Norte,6566,335,39.3,88.27,1390.2,678.3
2025-07-01,Planta Norte,4545,432,79.0,81.71,1450.1,399.3
2025-09-14,Planta Sur,3806,90,11.8,86.89,849.7,295.7
2025-08-25,Planta Sur,5173,255,41.6,83.69,1628.5,479.8
2025-07-07,Planta Norte,6080,305,37.1,87.84,1230.0,480.2
2025-07-20,Planta Centro,6942,280,32.5,88.39,2174.6,606.9
2025-08-30,Planta Centro,6339,252,20.9,91.71,1234.3,581.6
2025-08-14,Planta Sur,2728,172,15.0,91.28,526.3,202.0
2025-09-02,Planta Norte,5728,205,36.6,82.15,1087.3,525.8
2025-09-08,Planta Centro,7245,338,46.6,86.21,2023.6,611.3
2025-08-26,Planta Sur,5288,366,45.8,87.49,1079.3,467.8
2025-07-25,Planta Centro,4478,288,27.5,90.45,949.9,330.8
2025-08-25,Planta Norte,5633,213,39.5,81.46,1545.4,539.6
2025-08-23,Planta Norte,4495,288,21.3,92.6,846.6,301.9
2025-10-21,Planta Norte,6095,261,40.7,84.41,1586.7,506.4
2025-08-31,Planta Sur,5182,324,43.6,86.54,1213.9,443.2
2025-09-03,Planta Norte,7150,289,49.0,83.04,1407.9,431.8
2025-08-04,Planta Norte,5899,230,31.8,86.17,1826.7,579.7
2025-08-26,Planta Centro,4187,295,43.5,85.25,959.7,362.7
2025-09-12,Planta Norte,6046,186,26.2,85.91,1347.6,385.7
2025-09-17,Planta Norte,6510,346,45.0,86.99,1809.6,655.9
2025-08-08,Planta Norte,4404,375,61.8,83.52,1341.6,414.4
2025-07-05,Planta Centro,4604,186,17.7,90.48,995.3,478.4
2025-10-19,Planta Centro,1973,314,35.4,88.73,415.6,183.0
2025-07-10,Planta Centro,6465,201,31.9,84.13,2018.8,544.1
2025-09-26,Planta Norte,4377,366,64.3,82.43,1079.7,428.7
2025-10-08,Planta Centro,2229,352,51.0,85.51,553.1,172.1
2025-09-06,Planta Centro,2724,262,21.5,91.79,667.1,220.4
2025-09-11,Planta Sur,4888,360,55.8,84.5,1502.2,376.8
2025-09-22,Planta Sur,6265,246,39.9,83.78,1514.6,474.0
2025-08-18,Planta Norte,5075,229,26.3,88.52,1416.4,534.3
2025-07-02,Planta Norte,5860,235,32.0,86.38,1528.4,494.0
2025-09-03,Planta Sur,3658,269,25.9,90.37,729.3,308.6
2025-07-17,Planta Sur,3322,254,33.7,86.73,869.1,259.7
